Sample,Site,Hab,HabSeason,order,micro.season,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
F18_CHP4,Childs,Pool,Pool Fall,Pool Fall,8,0,0.02,0.0001,35.85,83,6,6,3,3,0,1,0,1,0,0
F18_CHP5,Childs,Pool,Pool Fall,Pool Fall,8,0,0.02,0.0001,35.85,83,6,6,3,3,0,1,0,1,0,0
F18_CHN1,Childs,Run,Run Fall,Run Fall,9,0,0.77,0.0321,76.7,0,4,8,12,26,13,15,10,11,2,0
F18_CHN3,Childs,Run,Run Fall,Run Fall,9,0,0.77,0.0321,76.7,0,4,8,12,26,13,15,10,11,2,0
F18_CHN5,Childs,Run,Run Fall,Run Fall,9,0,0.77,0.0321,76.7,0,4,8,12,26,13,15,10,11,2,0
F18_SBR1,Sheep Bridge,Riffle,Riffle Fall,Riffle Fall,7,0,0.65,0.08139,41.05,4,2,1,0,1,4,8,35,32,15,1
F18_SBR2,Sheep Bridge,Riffle,Riffle Fall,Riffle Fall,7,0,0.65,0.08139,41.05,4,2,1,0,1,4,8,35,32,15,1
F18_SBR3,Sheep Bridge,Riffle,Riffle Fall,Riffle Fall,7,0,0.65,0.08139,41.05,4,2,1,0,1,4,8,35,32,15,1
F18_SBP1,Sheep Bridge,Pool,Pool Fall,Pool Fall,8,0,0.03,0.00051,78.7,47,6,2,6,1,2,9,14,19,1,0
F18_SBP2,Sheep Bridge,Pool,Pool Fall,Pool Fall,8,0,0.03,0.00051,78.7,47,6,2,6,1,2,9,14,19,1,0
F18_SBP5,Sheep Bridge,Pool,Pool Fall,Pool Fall,8,0,0.03,0.00051,78.7,47,6,2,6,1,2,9,14,19,1,0
F18_SBN1,Sheep Bridge,Run,Run Fall,Run Fall,9,0,0.45,0.00212,72.35,5,6,3,4,4,13,20,26,21,2,0
F18_SBN3,Sheep Bridge,Run,Run Fall,Run Fall,9,0,0.45,0.00212,72.35,5,6,3,4,4,13,20,26,21,2,0
F18_SBN5,Sheep Bridge,Run,Run Fall,Run Fall,9,0,0.45,0.00212,72.35,5,6,3,4,4,13,20,26,21,2,0
S19_BFR1,Beasley Flats,Riffle,Riffle Spring,Riffle Spring,10,1,0.5,0.049,27.6,1,3,2,2,4,14,35,22,20,9,0
